source,aoa_deg,lift_max_N,lift_min_N,lift_avg_N,drag_max_N,drag_min_N,drag_avg_N
Group 1 (NACA 0012 wind tunnel),-2.0,-2.32,-2.29,-2.3049999999999997,1.27,1.24,1.255
Group 1 (NACA 0012 wind tunnel),-1.0,-0.31,-0.24,-0.275,1.32,1.3,1.31
Group 1 (NACA 0012 wind tunnel),0.0,0.5,0.48,0.49,1.35,1.32,1.335
Group 1 (NACA 0012 wind tunnel),1.0,2.2,2.16,2.18,1.41,1.37,1.3900000000000001
Group 1 (NACA 0012 wind tunnel),2.0,3.95,3.9,3.925,1.46,1.43,1.4449999999999998
Group 1 (NACA 0012 wind tunnel),3.0,5.12,5.07,5.095000000000001,1.64,1.63,1.6349999999999998
